"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of cell cycle process","GO:0010564","1.0339459774212367e-15","14.985502152074542","695","570","65","21100","RMI2,E2F1,CENPJ,CHEK2,PIDD1,EZH2,TFAP4,XRCC3,KNTC1,TIMELESS,CEP131,ATF5,DDX11,TACC3,DBF4B,CDC45,RAD51C,CDKN2A,KAT2A,PSRC1,CDKN2C,PTTG1,RASSF1,CDC7,TCIM,CDK5RAP3,AURKB,FEN1,CDC25A,PTPN6,CIT,CDT1,ZWINT,NUSAP1,DTL,CCNF,BRCA1,UBD,SPAG5,RAD51AP1,ING4,BCL2,KIF15,RPA2,BLM,PPP1R35,MIIP,NDC80,CDK1,CDC25B,CDCA2,E2F7,PKMYT1,CDC6,CUL9,WDR76,NEK2,BRCA2,EGFR,ORC1,FANCD2,TP53,CENPF,BRIP1,HLA-G"
"GO:BP","chromosome segregation","GO:0007059","4.542997269338441e-15","14.342657524226889","344","570","44","21100","RMI2,CENPH,XRCC3,KNTC1,STAG3,KIF22,DDX11,TACC3,RAD51C,PSRC1,REC8,SPC24,PTTG1,SKA1,AURKB,FEN1,MIS18A,SYCP2,CDT1,ZWINT,NUSAP1,BRCA1,SPAG5,RNF212,KIFC1,NUF2,KIF18B,NDC80,NCAPD2,CENPW,CDCA2,KIF2C,ESCO2,CENPK,BIRC5,CENPX,HJURP,CDC6,DSCC1,NEK2,KIF18A,FANCD2,CENPF,BRIP1"
"GO:BP","cell cycle phase transition","GO:0044770","8.940600812628453e-15","14.048633295427607","538","570","55","21100","E2F1,CENPJ,CHEK2,PIDD1,CKS2,EZH2,TFAP4,XRCC3,KNTC1,TIMELESS,CCDC57,ATF5,POLE,TACC3,DBF4B,CDC45,RAD51C,CDKN2A,CDKN2C,RASSF1,CDC7,NASP,TCIM,CDK5RAP3,AURKB,CDC25A,PTPN6,CIT,CDT1,ZWINT,DTL,CCNF,BRCA1,UBD,ING4,BCL2,CKS1B,RPA2,BLM,MIIP,UBE2S,NDC80,CDK1,CDC25B,E2F7,PKMYT1,CDC6,WDR76,EGFR,ORC1,MELK,FANCD2,TP53,CENPF,BRIP1"
"GO:BP","cell division","GO:0051301","2.5652775413998938e-14","13.590865641009156","646","570","60","21100","CENPJ,CHEK2,LIG1,CKS2,KNTC1,TIMELESS,HAUS5,TACC3,PRDM15,HAUS1,MCM5,CDKN2A,KAT2A,PSRC1,SPC24,PTTG1,CDC7,CENPA,SKA1,CDCA3,AURKB,HELLS,MIS18A,CDC25A,STMN1,ITGB3BP,CIT,SYCP2,CDT1,ZWINT,NUSAP1,HAUS8,CCNF,SPAG5,CKS1B,KIFC1,BLM,NUF2,PIMREG,UBE2S,KIF18B,NDC80,NCAPD2,CDK1,PTCH1,CENPW,CDC25B,CDCA2,KIF2C,BIRC5,CENPX,E2F7,LRRCC1,CDC6,NEK2,BRCA2,SAPCD2,CENPF,BRIP1,VEGFA"
"GO:BP","regulation of cell cycle","GO:0051726","3.3964924562883834e-14","13.468969345653253","1089","570","81","21100","RMI2,E2F1,CENPJ,CHEK2,PIDD1,CKS2,EZH2,TFAP4,XRCC3,KNTC1,TIMELESS,CCDC57,CEP131,ATF5,DDX11,TACC3,DBF4B,CDC45,RAD51C,SUV39H1,CDKN2A,KAT2A,PSRC1,CDKN2C,PTTG1,RASSF1,CDC7,ASNS,TCIM,CDK5RAP3,AURKB,LIN9,FEN1,CDC25A,PTPN6,CIT,CDT1,ZWINT,NUSAP1,DTL,CCNF,BRCA1,UBD,SPAG5,RAD51AP1,ING4,BCL2,CKS1B,KIF15,RPA2,BLM,PPP1R35,MIIP,NDC80,CDK1,BIRC3,PTCH1,GMNN,CDC25B,CDCA2,BIRC5,UHRF2,E2F7,PKMYT1,CDC6,CUL9,WDR76,NEK2,BRCA2,EGFR,ORC1,PCLAF,FANCD2,TP73,TP53,E2F2,CENPF,RUNX3,BRIP1,HLA-G,NUPR1"
"GO:BP","regulation of mitotic cell cycle","GO:0007346","6.894815946887437e-14","13.161477322572692","475","570","50","21100","E2F1,CENPJ,CHEK2,PIDD1,CKS2,EZH2,TFAP4,XRCC3,KNTC1,CCDC57,DBF4B,RAD51C,CDKN2A,CDKN2C,CDC7,ASNS,CDK5RAP3,AURKB,CDC25A,PTPN6,CDT1,ZWINT,NUSAP1,DTL,BRCA1,UBD,BCL2,CKS1B,RPA2,BLM,MIIP,NDC80,CDK1,PTCH1,GMNN,CDC25B,CDCA2,BIRC5,E2F7,PKMYT1,CDC6,CUL9,NEK2,BRCA2,EGFR,ORC1,FANCD2,TP73,TP53,CENPF"
"GO:BP","mitotic cell cycle phase transition","GO:0044772","1.4260683288452055e-12","11.845859665136683","440","570","46","21100","E2F1,CENPJ,CHEK2,PIDD1,CKS2,EZH2,TFAP4,XRCC3,KNTC1,CCDC57,POLE,TACC3,DBF4B,RAD51C,CDKN2A,CDKN2C,CDC7,NASP,CDK5RAP3,AURKB,CDC25A,PTPN6,CIT,CDT1,ZWINT,DTL,CCNF,BRCA1,UBD,BCL2,CKS1B,RPA2,BLM,MIIP,UBE2S,NDC80,CDK1,CDC25B,E2F7,PKMYT1,CDC6,EGFR,ORC1,MELK,TP53,CENPF"
"GO:BP","regulation of cell cycle phase transition","GO:1901987","3.0194069875438133e-12","11.520078344237033","414","570","44","21100","E2F1,CENPJ,CHEK2,PIDD1,EZH2,TFAP4,XRCC3,KNTC1,TIMELESS,ATF5,DBF4B,CDC45,RAD51C,CDKN2A,CDKN2C,RASSF1,CDC7,TCIM,CDK5RAP3,AURKB,CDC25A,PTPN6,CDT1,ZWINT,DTL,BRCA1,UBD,ING4,BCL2,RPA2,BLM,MIIP,NDC80,CDK1,CDC25B,E2F7,CDC6,WDR76,EGFR,ORC1,FANCD2,TP53,CENPF,BRIP1"
"GO:BP","nuclear chromosome segregation","GO:0098813","3.928021809687901e-12","11.405826109530503","284","570","36","21100","RMI2,XRCC3,KNTC1,STAG3,KIF22,DDX11,TACC3,RAD51C,PSRC1,REC8,SPC24,PTTG1,AURKB,FEN1,SYCP2,CDT1,ZWINT,NUSAP1,SPAG5,RNF212,KIFC1,NUF2,KIF18B,NDC80,NCAPD2,KIF2C,ESCO2,CENPK,CENPX,CDC6,DSCC1,NEK2,KIF18A,FANCD2,CENPF,BRIP1"
"GO:BP","double-strand break repair","GO:0006302","6.216050499220598e-12","11.206485465982599","273","570","35","21100","RMI2,CHEK2,PAXX,RECQL4,XRCC3,RAD54L,TIMELESS,MCM7,XRCC1,DDX11,MCM8,MCM3,HMGB2,CDC45,RAD51C,MCM5,REC8,PARPBP,KMT5C,CDC7,TONSL,FEN1,BRCA1,RAD51AP1,RPA2,BLM,MCM2,POLQ,ESCO2,GINS2,GINS4,BRCA2,FANCD2,TP53,BRIP1"
"GO:BP","cellular response to stress","GO:0033554","6.8742172573216795e-12","11.162776746251028","1875","570","108","21100","RMI2,TRAF2,E2F1,CHEK2,MGAT3,LIG1,RNASEH2A,PIDD1,PAXX,NUDT1,POLD1,RECQL4,EZH2,TFAP4,XRCC3,PCNA,RAD54L,TIMELESS,MCM7,KIF22,LGALS9,ALKBH2,FANCG,XRCC1,DDX11,POLE,MCM8,FANCL,CHCHD6,RFC5,MCM3,FANCC,PBK,RELB,HMGB2,RFC4,CDC45,RAD51C,MCM5,CHAF1A,SUV39H1,CDKN2A,PLA2G6,REC8,PARPBP,UBE2T,PTTG1,PRODH,KMT5C,RASSF1,CDC7,ASNS,DDIT3,TCIM,TONSL,CDK5RAP3,SERPINF2,IRF3,FOXRED2,FEN1,NTHL1,PARP10,CHAF1B,DTL,MAP4K1,BRCA1,BCL2L12,RAD51AP1,ING4,BCL2,NR1H3,RPA2,BLM,MCM2,TRPM2,HSBP1L1,TRAF1,CDK1,POLQ,MIF,ESCO2,FBXO44,EXO1,CENPX,FANCI,E2F7,GINS2,GINS4,WDR76,BRCA2,EGFR,PCLAF,MELK,BATF,FANCD2,TP73,TP53,DHFR,DDIT4,FADS1,BCL2A1,BRIP1,VEGFA,TRPV4,HLA-G,CCL19,HILPDA,NUPR1"
"GO:BP","sister chromatid segregation","GO:0000819","8.307795072876845e-12","11.080514224681044","202","570","30","21100","RMI2,XRCC3,KNTC1,STAG3,KIF22,DDX11,TACC3,RAD51C,PSRC1,REC8,PTTG1,AURKB,FEN1,CDT1,ZWINT,NUSAP1,SPAG5,KIFC1,NUF2,KIF18B,NDC80,NCAPD2,KIF2C,ESCO2,CENPK,CDC6,DSCC1,NEK2,KIF18A,CENPF"
"GO:BP","negative regulation of cell cycle","GO:0045786","2.421724606675755e-11","10.61587524542139","388","570","41","21100","E2F1,CHEK2,PIDD1,EZH2,TFAP4,XRCC3,KNTC1,TIMELESS,ATF5,CDC45,SUV39H1,CDKN2A,KAT2A,CDKN2C,PTTG1,CDK5RAP3,AURKB,CDT1,ZWINT,DTL,CCNF,BRCA1,BCL2,RPA2,BLM,MIIP,NDC80,CDK1,GMNN,E2F7,CDC6,WDR76,NEK2,ORC1,FANCD2,TP53,CENPF,RUNX3,BRIP1,HLA-G,NUPR1"
"GO:BP","DNA recombination","GO:0006310","2.682892278078608e-11","10.571396764515997","321","570","37","21100","RMI2,LIG1,RECQL4,XRCC3,RAD54L,TIMELESS,MCM7,XRCC1,MCM8,MCM3,HMGB2,CDC45,RAD51C,MCM5,REC8,PARPBP,KMT5C,CDC7,TONSL,FEN1,BRCA1,RNF212,IL27RA,RAD51AP1,RPA2,BLM,MCM2,POLQ,EXO1,CENPX,GINS2,GINS4,BRCA2,BATF,FANCD2,CD40,BRIP1"
"GO:BP","regulation of DNA-templated DNA replication","GO:0090329","6.468888232772878e-11","10.189170352385455","52","570","16","21100","CHTF18,PCNA,TIMELESS,DBF4B,RFC5,GINS1,RFC4,CDC7,CDT1,BLM,GMNN,E2F7,GINS2,GINS4,DSCC1,BRCA2"
"GO:BP","double-strand break repair via homologous recombination","GO:0000724","7.804500458236268e-11","10.107654889548957","164","570","26","21100","RMI2,RECQL4,XRCC3,RAD54L,TIMELESS,MCM7,XRCC1,MCM8,MCM3,CDC45,RAD51C,MCM5,REC8,PARPBP,CDC7,TONSL,FEN1,BRCA1,RAD51AP1,RPA2,BLM,MCM2,POLQ,GINS2,GINS4,BRCA2"
"GO:BP","recombinational repair","GO:0000725","1.005825051294746e-10","9.99747755194875","166","570","26","21100","RMI2,RECQL4,XRCC3,RAD54L,TIMELESS,MCM7,XRCC1,MCM8,MCM3,CDC45,RAD51C,MCM5,REC8,PARPBP,CDC7,TONSL,FEN1,BRCA1,RAD51AP1,RPA2,BLM,MCM2,POLQ,GINS2,GINS4,BRCA2"
"GO:BP","response to stress","GO:0006950","1.79142640499292e-10","9.746801028727","3851","570","173","21100","RMI2,TRAF2,EXOSC5,E2F1,CHEK2,MGAT3,LIG1,RNASEH2A,PIDD1,PAXX,NUDT1,POLD1,RECQL4,EZH2,TFAP4,XRCC3,PCNA,RAD54L,TIMELESS,CCL20,MCM7,KIF22,LGALS9,ALKBH2,FANCG,XRCC1,DDX11,POLE,TYK2,MCM8,FANCL,JAK3,IGHM,POLR3K,CHCHD6,RFC5,MCM3,FANCC,PBK,SOCS1,SIGIRR,RELB,HMGB2,RFC4,CDC45,RAD51C,MCM5,CHAF1A,SUV39H1,LETMD1,CDKN2A,PLA2G6,REC8,PARPBP,UBE2T,VCAM1,PTTG1,PRODH,KMT5C,RASSF1,CDC7,ASNS,DDIT3,CNPY3,TCIM,TONSL,CDK5RAP3,NKG7,SERPINF2,IRF3,TNFRSF14,FOXRED2,FEN1,NTHL1,PTPN6,RHBDD3,PSIP1,PARP10,TNFRSF4,ARNT2,CHAF1B,UCHL1,ZAP70,DTL,MAP4K1,BRCA1,CDC42EP4,UBD,BCL2L12,IL27RA,RAD51AP1,SLC26A6,ING4,GSDMB,BCL2,NR1H3,RPA2,ESR1,BLM,MCM2,ARHGEF19,IL1R2,TRPM2,PSTPIP1,HSBP1L1,DGKE,TRAF1,ADTRP,LAG3,CDK1,BIRC3,TRIM59,IGHV3-73,POLQ,MIF,MERTK,DDT,ESCO2,IGHV3-43,FBXO44,EXO1,CENPX,RPS19,FANCI,E2F7,GINS2,GINS4,PLGRKT,MST1R,WDR76,CORO1A,APOBEC3G,BRCA2,EGFR,PCLAF,MELK,BATF,FANCD2,CIITA,CD40,P2RX4,APOBEC3B,NLRC3,TP73,TP53,DHFR,LCK,DDIT4,APOE,GZMB,CD6,IDO1,FADS1,NINJ1,BCL2A1,SP140,BRIP1,NOS2,VEGFA,PRF1,SUSD4,TRPV4,SLC15A3,SLFN13,CXCR4,HLA-G,CCL19,HILPDA,NUPR1,MICB,CD48,IFITM1,CLDN3"
"GO:BP","regulation of DNA replication","GO:0006275","1.7992362016331865e-10","9.744911819237965","131","570","23","21100","CHTF18,PCNA,TIMELESS,DBF4B,RFC5,GINS1,RFC4,KCTD13,CDC7,CDT1,BLM,CDK1,GMNN,ESCO2,E2F7,GINS2,CDC6,GINS4,DSCC1,BRCA2,EGFR,TP53,GLI2"
"GO:BP","nuclear division","GO:0000280","1.9701698378049863e-10","9.70549633402002","454","570","43","21100","CHEK2,CKS2,MEI1,XRCC3,KNTC1,RAD54L,STAG3,KIF22,TACC3,RAD51C,PSRC1,REC8,PTTG1,AURKB,SYCP2,CDT1,ZWINT,NUSAP1,SPAG5,RNF212,RAD51AP1,KIFC1,KIF15,NUF2,UBE2S,KIF18B,NDC80,NCAPD2,CDC25B,CDCA2,KIF2C,CENPK,CENPX,PKMYT1,CDC6,DSCC1,CUL9,NEK2,BRCA2,KIF18A,FANCD2,CENPF,BRIP1"
"GO:BP","DNA geometric change","GO:0032392","2.8127522281123994e-10","9.550868522617186","98","570","20","21100","CHTF18,RECQL4,RAD54L,MCM7,DDX11,MCM8,RFC5,MCM3,GINS1,HMGB2,RFC4,CDC45,MCM5,BLM,MCM2,POLQ,GINS2,GINS4,DSCC1,BRIP1"
"GO:BP","cellular macromolecule metabolic process","GO:0044260","3.43769651646951e-10","9.46373246593874","5766","570","232","21100","RMI2,CEL,CHTF18,TRAF2,EXOSC5,E2F1,CHEK2,MYB,MGAT3,LIG1,RNASEH2A,PIDD1,PAXX,UBXN11,NUDT1,CKS2,POLD1,RECQL4,EZH2,TFAP4,XRCC3,PCNA,RAD54L,SMG9,PXYLP1,TIMELESS,PASK,MCM7,KIF22,LGALS9,ALKBH2,FANCG,XRCC1,TRMT1,DDX11,DPH7,PNCK,ABCA3,POLE,TRMT2A,TYK2,RNF165,MCM8,DBF4B,TARBP1,FANCL,BCL11A,JAK3,TYMS,RFC5,MCM3,FANCC,PBK,SOCS1,SNRPB,NAT9,GINS1,HMGB2,RFC4,CDC45,RAD51C,MCM5,THAP7,CHAF1A,SUV39H1,KCTD13,CDKN2A,FBL,KAT2A,PLA2G6,PSRC1,REC8,PARPBP,UBE2T,CDKN2C,PTTG1,KMT5C,RASSF1,CDC7,QPCTL,NASP,DDIT3,CDCA3,PRIM1,TCIM,TONSL,CDK5RAP3,AURKB,SERPINF2,LIN9,TNFRSF14,HELLS,FOXRED2,FEN1,NTHL1,DNASE2,MIS18A,CDC25A,PTPN6,CIT,PARP10,CHAF1B,D2HGDH,UCHL1,ZAP70,CDT1,MELTF,ASPSCR1,DTL,MAP4K1,ZDHHC23,CCNF,BRCA1,UBD,ZBTB48,BCL2L12,RNF212,IL27RA,TK1,RAD51AP1,ING4,BCL2,CKS1B,NR1H3,RPA2,BLM,MCM2,POLA2,IL1R2,LSM7,RENBP,PTPN7,UBE2S,TRAF1,PAX5,ADTRP,PKDCC,CDK1,BIRC3,GMNN,SPSB2,TRIM59,CDC25B,CDCA2,POLQ,MIF,MERTK,SPOCK2,RPL36A,ESCO2,GALNT17,TTLL4,FBXO44,EXO1,BIRC5,GRB7,CENPX,RPS19,UHRF2,DTX2,HINT2,FANCI,E2F7,GINS2,CLK4,MRPS17,EPOP,EIF4A2,ENGASE,PKMYT1,CDC6,RASD2,GINS4,DSCC1,PLGRKT,PRKX,MST1R,CUL9,NEK2,APOBEC3G,LZTR1,ADM2,BRCA2,HENMT1,EGFR,CCT6A,ORC1,PCLAF,NEDD4L,MELK,BATF,FANCD2,RPL22L1,TCEA2,CIITA,CD40,RNF227,APOBEC3B,TP73,PHPT1,TP53,DHFR,FBXL16,CHST10,LCK,ABCA2,CENPF,DDIT4,SIMC1,MICAL1,APOE,HLTF,GZMB,RPL19,CD6,RUNX3,BRIP1,NOS2,NEURL1B,PRAME,VEGFA,TNFRSF18,SLFN13,PARM1,ECE1,CCL19,GLI2,GZMA,NUPR1,CTSW,B3GALT5,CLDN3"
"GO:BP","lymphocyte activation","GO:0046649","3.6300983636802377e-10","9.44008160685789","794","570","59","21100","MYB,EZH2,LGALS9,MS4A1,TYK2,FCHO1,JAK3,IGHM,SOCS1,TBC1D10C,RELB,SOX12,CDKN2A,CD22,KAT2A,VCAM1,KMT5C,NKG7,TNFRSF14,HELLS,PTPN6,RHBDD3,TNFRSF4,ZAP70,CD320,IL27RA,BCL2,CD79B,LAG3,IKZF3,IGHV3-73,MIF,MERTK,IGHV3-43,RASAL3,IL4I1,EXO1,POU2AF1,CORO1A,IL21R,CD3D,BATF,FANCD2,CD40,CD7,NLRC3,TP53,LCK,CD6,IDO1,RUNX3,PRF1,HLA-G,CCL19,GLI2,MICB,PAX1,CD48,CARD11"
